n,sortusingbst.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,1
2800,0
2900,0
3000,0
3100,0
3200,1
3300,1
3400,1
3500,1
3600,0
3700,0
3800,1
3900,0
4000,0
4100,0
4200,0
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,1
5400,1
5500,1
5600,1
5700,1
5800,1
5900,1
6000,1
6100,1
6200,1
6300,1
6400,1
6500,1
6600,1
6700,1
6800,1
6900,1
7000,1
7100,1
7200,1
7300,2
7400,2
7500,2
7600,2
7700,1
7800,1
7900,2
8000,2
8100,1
8200,2
8300,2
8400,2
8500,2
8600,2
8700,2
8800,2
8900,2
9000,2
9100,2
9200,2
9300,2
9400,2
9500,2
9600,2
9700,2
9800,2
9900,3
